University,Course ID,Course Title,Department,Department Code,Professors,Terms,Credits
Alabama A & M University,203,Introduction to Accounting I,Accounting,ACC,Bonnie D. Mcquitter-Banks; Eric N. Nyako; Gladys A. Ayokanmbi;  Hareshnarayan Khanna; Helen G. Gabre; Horace L. Franklin; Larry D. Word; Rohit Jain; Rufus Gilmore; Sheilah L. Parker; Sherrell M. Price,Fall 11-12,3
Alabama A & M University,204,Introduction to Accounting II,Accounting,ACC,Bonnie D. Mcquitter-Banks; Eric N. Nyako; Grover B. Wood;  Hareshnarayan Khanna; Helen G. Gabre; Horace L. Franklin; Hwei C. Wang; Larry D. Word; Rohit Jain; Rufus Gilmore,Fall 11-12,3
Alabama A & M University,219,Managerial Accounting,Accounting,ACC,Bonnie D. Mcquitter-Banks; Eric N. Nyako; Hareshnarayan Khanna;  Helen G. Gabre; Rohit Jain,Fall 11-12,3
Alabama A & M University,301,Intermediate Accounting I,Accounting,ACC,Bonnie D. Mcquitter-Banks; Rohit Jain; Rufus Gilmore,Fall 11-12,3
Alabama A & M University,302,Intermediate Accounting II,Accounting,ACC,Eric N. Nyako; Helen G. Gabre; Hwei C. Wang,Fall 11-12,3
Alabama A & M University,303,Cost Accounting,Accounting,ACC,Anita G. Geinert; Bonnie D. Mcquitter-Banks; Eric N. Nyako;  Hareshnarayan Khanna; Rufus Gilmore,Fall 11-12,3
Alabama A & M University,306,Intermediate Accounting III,Accounting,ACC,Eric N. Nyako,Fall 11-12,3
Alabama A & M University,351,Federal Tax Accounting I,Accounting,ACC,Helen G. Gabre,N/A,3
Alabama A & M University,401,Independent Study,Accounting,ACC,Bonnie D. Mcquitter-Banks,Fall 11-12,3
Alabama A & M University,421,Advanced Accounting,Accounting,ACC,Bonnie D. Mcquitter-Banks; Helen G. Gabre; Rohit Jain,Fall 11-12,3
Alabama A & M University,441,Auditing,Accounting,ACC,Charlie L. Rucker; Hwei C. Wang,Fall 11-12,3
Alabama A & M University,450,Accounting for Non-Profit Org,Accounting,ACC,Eric N. Nyako,N/A,3
Alabama A & M University,461,Seminar in Intl Accounting,Accounting,ACC,Anita G. Geinert; Aylicia Smith; Bonnie D. Mcquitter-Banks;  Helen G. Gabre,Fall 11-12,3
Alabama A & M University,472,Accounting Information System,Accounting,ACC,Anita G. Geinert; Helen G. Gabre; Hwei C. Wang,N/A,3
Alabama A & M University,478,Field Experiences in Acc,Accounting,ACC,Bonnie D. Mcquitter-Banks,Fall 11-12,3
Alabama A & M University,512,Acc Analysis for Management,Accounting,ACC,Helen G. Gabre,Fall 11-12,3
Alabama A & M University,571,Tax & Bus Decision Making,Accounting,ACC,Helen G. Gabre,Fall 11-12,3
Alabama A & M University,572,Accounting Information Systems,Accounting,ACC,Anita G. Geinert; Hwei C. Wang,N/A,3
Alabama A & M University,577,Special Topics in Accounting,Accounting,ACC,Helen G. Gabre,N/A,3
Alabama A & M University,102,Intro to Agriculture Careers,Agribusiness Education,AGB,Buddhi R. Gyawali; Swagata Banerjee; Yoseph Befecadu,N/A,1
Alabama A & M University,199,Computers in Agriculture,Agribusiness Education,AGB,Buddhi R. Gyawali; Celedonio M. Gapasin; Hezekiah S. Jones;  Remus M. Shade; Willie J. Cheatham,Fall 11-12,3
Alabama A & M University,211,Metal Fabrication,Agribusiness Education,AGB,Remus M. Shade,N/A,3
Alabama A & M University,212,Woodworking & Machinery,Agribusiness Education,AGB,Remus M. Shade; Willie J. Cheatham,N/A,3
Alabama A & M University,221,Intro to Agricultural Economic,Agribusiness Education,AGB,James O. Bukenya,Fall 11-12,3
Alabama A & M University,299,Quant Appl in Agriculture,Agribusiness Education,AGB,James O. Bukenya; Swagata Banerjee,N/A,3
Alabama A & M University,300,Agribusiness Statistics,Agribusiness Education,AGB,Yoseph Befecadu,Fall 11-12,3
Alabama A & M University,301,Electrical Systems & Machines,Agribusiness Education,AGB,Willie J. Cheatham,N/A,3
Alabama A & M University,302,Org & Admin of Voc Edu,Agribusiness Education,AGB,Edward E. Williams; Willie J. Cheatham,Fall 11-12,3
Alabama A & M University,311,Small Pow Unit & Equipment,Agribusiness Education,AGB,Remus M. Shade; Willie J. Cheatham,N/A,3
Alabama A & M University,314,Small Structure Construction,Agribusiness Education,AGB,Remus M. Shade; Willie J. Cheatham,Fall 11-12,3
Alabama A & M University,322,Farm Management,Agribusiness Education,AGB,Hezekiah S. Jones; Swagata Banerjee,N/A,3
Alabama A & M University,323,Agricultural Marketing,Agribusiness Education,AGB,James O. Bukenya; Swagata Banerjee,Fall 11-12,3
Alabama A & M University,330,Internship in Agribusiness,Agribusiness Education,AGB,Edward E. Williams; Remus M. Shade; Willie J. Cheatham;  Yoseph Befecadu,Fall 11-12,3
Alabama A & M University,333,Commodity Marketing,Agribusiness Education,AGB,Swagata Banerjee,Fall 11-12,3
Alabama A & M University,401,Methods of Teaching in Agrisci,Agribusiness Education,AGB,Willie J. Cheatham,Fall 11-12,3
