University of California - Berkeley,C10,Introduction to General Astronomy,ASTRON,ASTRON,,,,http://www.koofers.com/university-of-california-berkeley/astr/c10-p-introduction-to-general-astronomy/,,,,,,
University of California - Berkeley,10A,Introduction to Greek Civilization,CLASSIC,CLASSIC,,,,http://www.koofers.com/university-of-california-berkeley/clas/10a-p-introduction-to-greek-civilization/,,,,,,
University of California - Berkeley,35Ac,Human Biological Variation,INTEGBI,INTEGBI,,,,http://www.koofers.com/university-of-california-berkeley/inte/35ac-p-human-biological-variation/,,,,,,
University of California - Berkeley,20A,Introduction to the History of Asians in the United...,ASAMST,ASAMST,,,,http://www.koofers.com/university-of-california-berkeley/asam/20a-p-introduction-to-the-history-of-asi/,,,,,,
University of California - Berkeley,3A,Chemical Structure and Reactivity,CHEM,CHEM,,,,http://www.koofers.com/university-of-california-berkeley/chem/3a-p-chemical-structure-and-reactivity/,,,,,,
University of California - Berkeley,70Ac,The Urban Experience,GEOG,GEOG,,,,http://www.koofers.com/university-of-california-berkeley/geog/70ac-p-the-urban-experience/,,,,,,
University of California - Berkeley,12,The Middle East,HISTORY,HISTORY,,,,http://www.koofers.com/university-of-california-berkeley/hist/12-p-the-middle-east/,,,,,,
University of California - Berkeley,C20,Earthquakes in Your Backyard,EPS,EPS,,,,http://www.koofers.com/university-of-california-berkeley/eps/c20-p-earthquakes-in-your-backyard/,,,,,,
University of California - Berkeley,27,Introduction to Western Music,MUSIC,MUSIC,,,,http://www.koofers.com/university-of-california-berkeley/musc/27-p-introduction-to-western-music/,,,,,,
University of California - Berkeley,150A,SELF AND SOCIETY,SOCIOL,SOCIOL,,,,http://www.koofers.com/university-of-california-berkeley/soc/150a-self-and-society/,,,,,,
University of California - Berkeley,61A,The Structure and Interpretation of Computer Progra...,COMPSCI,COMPSCI,,,,http://www.koofers.com/university-of-california-berkeley/cs/61a-p-the-structure-and-interpretation-o/,,,,,,
University of California - Berkeley,133,Concepts in Computing with Data,STAT,STAT,,,,http://www.koofers.com/university-of-california-berkeley/stat/133-p-concepts-in-computing-with-data/,,,,,,
University of California - Berkeley,10,Introduction to Asia,ASIANST,ASIANST,,,,http://www.koofers.com/university-of-california-berkeley/asia/10-p-introduction-to-asia/,,,,,,
University of California - Berkeley,111,Special Topics,GWS,GWS,,,,http://www.koofers.com/university-of-california-berkeley/wom/111-p-special-topics/,,,,,,
University of California - Berkeley,3,Intermediate French,FRENCH,FRENCH,,,,http://www.koofers.com/university-of-california-berkeley/fren/3-p-intermediate-french/,,,,,,
University of California - Berkeley,2,Elementary Spanish,SPANISH,SPANISH,,,,http://www.koofers.com/university-of-california-berkeley/span/2-p-elementary-spanish/,,,,,,
University of California - Berkeley,R5B,India in the Writer's Eye,S ASIAN,S ASIAN,,,,http://www.koofers.com/university-of-california-berkeley/sa/r5b-india-in-the-writers-eye/,,,,,,
University of California - Berkeley,128Ac,Muslims in America,ASAMST,ASAMST,,,,http://www.koofers.com/university-of-california-berkeley/asam/128ac-p-muslims-in-america/,,,,,,
University of California - Berkeley,45A,Literature in English,ENGLISH,ENGLISH,,,,http://www.koofers.com/university-of-california-berkeley/engl/45a-p-literature-in-english/,,,,,,
University of California - Berkeley,160,SOCIAL PSYCHOLOGY,PSYCH,PSYCH,,,,http://www.koofers.com/university-of-california-berkeley/psyc/160-social-psychology/,,,,,,
