Course Title,Course ID,City,University,State,Department Code,Course URL
Elementary Italian II,120,New Haven,Yale University,Connecticut,ITAL,http://www.koofers.com/yale-university/ital/120-elementary-italian-ii/
Philosophy of Science,269,New Haven,Yale University,Connecticut,PHIL,http://www.koofers.com/yale-university/phil/269-philosophy-of-science/
Ordinary&PrtialDiffrntlEquatns,194,New Haven,Yale University,Connecticut,ENAS,http://www.koofers.com/yale-university/enas/194-ordinary-prtialdiffrntlequatns/
Intro Microeconomic Analysis,110,New Haven,Yale University,Connecticut,ECON,http://www.koofers.com/yale-university/econ/110-intro-microeconomic-analysis/
U.S. Lesbian and Gay History,127,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/127-us-lesbian-and-gay-history/
The Cinema of War,407,New Haven,Yale University,Connecticut,FILM,http://www.koofers.com/yale-university/film/407-the-cinema-of-war/
The Financial Panic 2007-2009,230,New Haven,Yale University,Connecticut,CSBR,http://www.koofers.com/yale-university/csbr/230-the-financial-panic-2007-2009/
Early Arabic Prose-4th-10th C,846,New Haven,Yale University,Connecticut,ARBC,http://www.koofers.com/yale-university/arbc/846-early-arabic-prose-4th-10th-c/
Design& Analysis of Algorithms,365,New Haven,Yale University,Connecticut,CPSC,http://www.koofers.com/yale-university/cpsc/365-design-analysis-of-algorithms/
Anthropology of the Body,357,New Haven,Yale University,Connecticut,ANTH,http://www.koofers.com/yale-university/anth/357-anthropology-of-the-body/
Major English Poets,125,New Haven,Yale University,Connecticut,ENGL,http://www.koofers.com/yale-university/engl/125-major-english-poets/
South Asia in World Politics,181,New Haven,Yale University,Connecticut,PLSC,http://www.koofers.com/yale-university/plsc/181-south-asia-in-world-politics/
CalcOfFunctionsOfOneVariableII,115,New Haven,Yale University,Connecticut,MATH,http://www.koofers.com/yale-university/math/115-calcoffunctionsofonevariableii/
Fundamentals of Neuroscience,170,New Haven,Yale University,Connecticut,PSYC,http://www.koofers.com/yale-university/psyc/170-fundamentals-of-neuroscience/
Introduction to Psychology,110,New Haven,Yale University,Connecticut,PSYC,http://www.koofers.com/yale-university/psyc/110-introduction-to-psychology/
Organic Chem of Life Processes,221,New Haven,Yale University,Connecticut,CHEM,http://www.koofers.com/yale-university/chem/221-organic-chem-of-life-processes/
